Но, јас не би ви доверил злато.	3, 8
Боже, баш е цврста стара yверка.	7
Му треба некој да ги потпише документите.	2
Ќе дојдам за еден час.	2
Беше во право.	8
Ти го врачувам.	1
Мајка ми беше наставничка по музичко и се омажила за татко ми, а неговото семејство било исклучително богато.	5, 8
Тогаш тој се развел од мајка ми за да биде со друга жена.	1
Бев многу лут на него.	1
- Ти дојде.	5
Пушти се.	6
Добро изведено!	5
Тоа е пресудното дами и господа.	2
Осети ја жештината.	2, 5
- Се дружам со нив, да.	2, 5
Каде ја најде?	7
- Како си?	8
- Знаев дека си тоа ти.	7
Тоа е добро.	2, 5, 8
Само сослушај ме, добро?	1, 4, 8
И сега се најдобри пријатели?	2, 7
Оваа девојка се појавува од никаде.	4, 7
Таа не е шпион.	8
Сенаторе Адамс, Драго ми е што дојдовте.	5
Нема промени, така?	1, 7
- Се забавуваш?	2, 5
Не грижи се.	8
Слушај, можеби ти и јас можеме да се најдеме откако Едвард ќе си замине.	2, 8
Мислам, ако на сите им кажуваш дека сум проститутка,	1, 3
Реков дека ми е жал.	1, 8
Никој никогаш не направил да се осетам толку ефтино како ти денес.	1, 3, 6
Си ги сакам парите.	1, 4
Жал ми е.	6
Тоа беше глупаво и сурово.	6, 7
Ќе останеш ли неделава?	2, 5
Зошто?	2, 7
Само разговаравме.	6
Ме повреди.	1, 3, 6
Ама неможев да заработам за кирија.	6
Таа беше проститутка и го опиша тоа како да е супер.	3, 6
Плачев цело време.	6
Можеш да бидеш многу повеќе од ова.	8
Не сакам да разговарам со него.	1
- Каде ќе одиш?	5
Нешто недостасува.	4
Четвртина од милион долари?	7
Би требало да имаме мирен лет.	5, 8
Би требало да пристигнеме за околу 50 минути.	2
- Никогаш не почнуваат навреме на вечерта на отварањето.	6, 7
Навака.	2
Затоа што е најдобро.	2
А ако не ќе научат да ја ценат, не никогаш нема да стане дел од нивната душа.	3
Морам да работам.	6
Земи слободен ден.	2
Јас да не работам?	7
- Ќе земе слободен ден?	7
Не знам што е снеп дог.	1
И тогаш конечно ќе се откачиш од мене.	2
Да, би сакал.	2
Како прво, ќе те тргнам од улица.	2
Тој ќе се качеше на кулата и ќе ме спасеше.	5, 8
Сака да се сретне со тебе.	2, 3, 7
Навистина се повлекува.	2
Морам да одам сега.	7
Ова е се што можам во моментов.	6
- Дај ми да зборувам со неа.	2, 4
Доаѓа.	1
- Требаше да дојдеш во вторник.	1, 6, 7
Изгледаш навистина добро.	5
Убаво си се средила.	7
Едвард ме праша дали сакам да се видиме повторно.	7
О, не.	4, 8
Се вqуби ли во него?	5, 7
- Го баци во уста?	5
- Не сум глупава, добро?	1, 3
Можеби би можеле нешто како знаеш, да си најдете куќа, и да си купите дијаманти и коњ.	1
Кога се случува?	4
Повторно ја разгледав мојата позиција во врска со вашата понуда за откуп.	3
Ќе бидам надвор.	8
- Би сакале ли кафе?	5
Е па, веќе не сакам да ја купам вашата компанија и да ја распарчам.	1
Тешко ми е ова да го кажам, а да не звучам вообразено, но се гордеам со тебе.	7
Не.	3, 6
Можеби ако јас легнам со тебе, ни мене нема да ми биде гајле што сум изгубил милиони долари.	2, 6
Во моментов излудувам.	4
Па можеби ако те свртам тебе и ако те однесам на опера, ќе бидам и јас среќен.	5, 7
- Ти си курва од 50 долари?	3
Сакаш да ме повредиш?	1, 3, 6
Што ти е на тебе?	1, 3, 7
Губи се!	1
Зошто мажите секогаш знаат како да удрат жена точно преку образот, бам, и имаш чувство дека окото ќе ти експлодира.	3, 6
Така и се чувствував.	5
Да, забележав дека си се спакувала.	6
Секогаш ќе постои некој, дури и ако ти е пријател, што ќе мисли дека може да се однесува со мене како Стаки, мислејќе дека тоа е дозволено.	3, 4, 6
Ти смени се, и не можеш да вратиш на старо.	6
Сакаш да ти викнам носач?	1, 2
Не можам.	6, 7
Сан Франциско не е толку супер, знаеш.	7
Што ќе правиш таму?	7
Мислиш дека имам потенцијал?	2, 7
- И не дозволувај некој да ти каже друго.	5, 8
Кога ти оди автобусот?	2
- Грижи се за себе.	2
Нема пораки за мене, така?	2
Уште нешто.	2
Мора да е навистина тешко да се остави нешто толку убаво.	6, 7
Би требало да пристигнете во Њујорк на време.	2
Принцезо Вивиен!	2, 4
И, што се случува откако тој се качи на кулата и ја спаси?	2
Таа го спасува него за возврат.	2, 8
Добредојдовте во Холивуд.	2
Кој е вашиот сон?	2, 5
Сите доаѓаат тука.	5
Ќе се венчавме, ќе имавме куќа и дете.	6
- Јас ќе мислам секогаш на тоа.	6
Има воз кој припаѓа на мојата влада што стои во Јурјатин. Има вагон за мене и за моите помошници.  Ќе патувате удобно и безбедно.	8
Јас нема да одам со тебе. - Јас нема да одам без тебе.	1
Стрелников е мртов. - Што?  - Поштеди ме од твоите изрази на жалење.	7
- Ти не гледаш?	1
Всушност за време на сослушувањето бараше да го именуваат со вистинското име Павел Антипов и одбиваше да одговори на именувањето со Стрелников.	3
Не и го кажувај ова на Лара.	4
Сега точно знам што мислиш за мене и зошто. Но, ако ти не дојдеш со мене, таа нема да дојде со мене.	3
- Жалам, нема доволно место. - Другар, мора да има место.	4, 7
- Побрзај. Возот нема да чека.	2, 5
Во него има важни луѓе.	1
- Побрзај.	1, 2, 4
- Тој нека остане.	1
Ќе ти кажам како првпат ја сретнав мајка ти. - Ако таа ми беше мајка, другар Генерал.	2, 5
Тој ми дозволи да му купам нов костум и да му најдам работа во неговата стара болница.	7
Но тој го сокриваше тоа во себе. Тој сокриваше многу во себе.	1, 6
Бев зачуден од големината на неговиот углед. Неговите дела не можеа да се најдат тогаш.  Тие не беа одобрени од партијата.	2, 4, 5, 7
Таа дојде во Москва за да ја побара нејзината ќерка. И помогнав колку што можев.	5
Комаровски. Имаше експлозии и куќите се уриваа и тој, тој ми ја испушти раката.	1
И јас бев изгубена.	4, 6
Ќе размислиш ли за тоа?	8
Се е во ред, Давиде.	5, 6, 8
Вети дека ќе размислиш за тоа.	1, 6
Знаеш ли да свириш на балалајка?	5, 7
Дали знае да свири?	2
Мислам дека е најдобро... да не се гледаме повеќе.	1
Чувај се, Рони.	2
Ер Џеј и Федер можат да се преселат таму, и тој може да стане градоначалник на Глупоград.	1, 3
Може да потрае месеци или година.	2
Што се случи?	6, 7
Рече дека по сето тоа што се случува во светот, не и е до врска.	6
Сега ќе оди на Гренланд да го мери топењето на глечерите. Сама.	4
Нека биде кој било, само не таа	4
Ти ли си.	4
Види го тоа.	2, 7
Знаеш дека водата е безалкохолна.	2, 3, 8
Да.	5, 8
Тоа... нема да се случи.	1, 3
