Hadi.	{'6', '2', '1'}
Evet. Melba hoş bir kız.	{'8'}
Kaliteli ve zevkli bir kız.	{'5'}
İnce zevkler.	{'5'}
İşte o zaman uzaklaşmaya başlarlar.	{'6'}
Bence New York parası olasılıkla 8'e 5 Lancey der.	{'8'}
Şahsen, Kid'in şansını daha yüksek görüyorum.	{'2'}
- Ben bahse girmezdim.	{'8'}
Düşmeye hazır.	{'4'}
Ancak böyle büyük bir oyunda Kid'in sinirleri gerilebilir.	{'4'}
Asla öyle bir şey yapamam.	{'6'}
Kesinlikle olmaz Bay Slade.	{'1'}
25 bin dolar kazansan Melba seninle gurur duyardı.	{'5'}
Olmaz. Üzgünüm Bay Slade.	{'6'}
Bunu ne zaman fark ettim biliyor musun?	{'7'}
Bu doğru oğlum.	{'8'}
Bana yakışır türden para için.	{'5'}
- Bütün o hikayeleri biliyorum.	{'3'}
Rahatla.	{'4'}
Senin iç güzelliğini meydana çıkartıyor Melba.	{'5'}
Hoşuna gitti mi?	{'2'}
Shooter'ın en eski ve en iyi dostu olduğunu söylemeye kalkma.	{'7'}
Evet, çok eğlenmiş gibiydi.	{'5'}
Seni piç!	{'1'}
Umarım kaybedersin.	{'1'}
Sağ ol bebek.	{'8'}
Duyduğum kadarıyla tıka basa dolacak.	{'2'}
O kimdi biliyor musun Kid?	{'8'}
- Hayır.	{'8', '6', '1'}
Şehre çok para yağacak.	{'2'}
Sonra görüşürüz.	{'5'}
Hey Kid.	{'8'}
- Senin üstüne oynanan para da çok.	{'2'}
Sonra görüşürüz Shooter.	{'2'}
Sürpriz oldu.	{'7'}
Isıtıcıda sıcak kurabiye var.	{'8'}
Sadece küçük kızların kurduğu türden şeyler.	{'6'}
Bir öykü duymuştum Mississippi kıyısında bir yerlerdeki bir dilek taşı hakkında.	{'2'}
Eğer onu öpüp bir dilek tutarsam gerçekleşecekmiş gibi.	{'7'}
Her zamanki yemeğimiz.	{'8'}
Şimdi babama bazı numaralar gösterebilirsin.	{'2'}
- Numara mı?	{'2'}
Hayatımda gördüğüm en hayret şey.	{'3'}
Bunu görmen gerek.	{'2'}
İyi bak.	{'5'}
Bana göstermeyin.	{'1'}
- Evet bu akşam oynuyorum.	{'2'}
- Bir şeyler kazanırım.	{'2'}
Sen merak etme.	{'8'}
Tam 25 yıllık bir itibarım var.	{'5'}
Neden bahsettiğimi biliyorsun.	{'8'}
Sana bir şey söyleyeyim.	{'8', '1'}
İhtiyaç duymadıkça ona hiç yardım etmeyeceğim.	{'2'}
Sadık dürüst Shooter.	{'8'}
Baksana, giderek ilk kocamı daha çok hatırlatıyorsun.	{'5'}
- O da kaybetmeye mahkumdu.	{'3'}
- Ben kaybetmeye mahkum değilim.	{'1'}
Merhaba millet.	{'5'}
Ay ne hoş.	{'5'}
- Başka neden olabilir ki?	{'1'}
Kesinlikle.	{'8', '5'}
O kediyi öldür Kid.	{'4'}
- Çok iyiyim.	{'5'}
- Seni tekrar gördüğüme sevindim.	{'5'}
Tanıştığımıza memnun oldum Lancey.	{'5'}
O zevk bana ait.	{'8'}
New Orleans beni hep memnun bırakmıştır.	{'5'}
Çok iyi poker oyuncusu olduğunu söylüyorlar delikanlı.	{'8'}
Birkaç yıldır ismin kulağıma çalınıyor.	{'2'}
İşte bu tehlikeli bir şey.	{'4'}
New Orleans Briç Kulübü'nden geliyor. İdare mühürlü.	{'4'}
Shooter, Lady Fingers ve ben onları doğrudan buraya taşıdık.	{'8'}
İyi.	{'8'}
Pekâlâ Kid, oyunun nedir?	{'2'}
Beyler itiraz yoksa dağıtıcı benim.	{'8'}
- Bunu duyduğuma üzüldüm Lady Fingers.	{'6'}
Kaliteli oyun tarzını nasıl beğenirim, bilirsin.	{'8'}
Sağ ol.	{'8', '5'}
Umarım devamı gelir.	{'2'}
Oyun dışı kalan biri yarım saat içinde para bulup oyuna geri dönebilir.	{'1'}
- Oynuyorum.	{'2'}
- Girdim.	{'2', '8'}
- Dokuzları kovalamıyorum.	{'6'}
Ve ben başlayamam.	{'1'}
Shooter işini bilir.	{'8'}
Bir şey olacaksa, hiç yoktan iyidir.	{'1'}
Buraya oynamaya geldik.	{'2'}
İşte bu çok hoş.	{'5'}
Lancey?	{'7'}
Kesinlikle çok eğlenceli olurdu.	{'5'}
- Durum ne?	{'2'}
Kid ona bir darbe vurdu, hâlâ geri vurmadı.	{'4'}
Papaza bacak.	{'8'}
Ben pot kadar koyuyorum.	{'8'}
Oynuyorum.	{'2'}
Bozuldu.	{'4', '1'}
1500'ünü görüyor ve 2500'e yükseltiyorum.	{'8'}
Sağ ol Lancey.	{'5'}
Çok sağ ol.	{'5'}
Pek şanslı sayılmaz, değil mi?	{'7'}
Teşekkürler Melba.	{'8'}
Bilirsin Melba, orta yaşına ermiş Shooter gibi bir adamın hâlâ gelecek haftaki maaş güvencesinin olmaması beni tedirgin ediyor.	{'4'}
- Örümcek Adam da yavaş yavaş öldü.	{'6'}
- Biraz yavaş öldü.	{'6'}
- İyi kalabalık.	{'5'}
Baksana Kid 35 yıllık oyun hayatımda gördüğüm en iyi stud poker oyuncususun.	{'8'}
Tahmin ettin mi?	{'7'}
Bir ara gelmelisin.	{'2'}
- Belki yaparım.	{'8'}
- Ama sinirlerin sağlam olmalı.	{'8'}
Gün be gün çok hareket olunca insan kâğıt hakimiyetini kaybedebilir.	{'6'}
Var. Şimdi şehir dışında.	{'1'}
Tatsızlık yoktur umarım.	{'4'}
- Hemen geliyorum Shooter.	{'8'}
Bu ufak sohbetimizden memnun oldum.	{'8'}
Evet, haklısın Lancey.	{'5'}
Yepyeni bir oyun.	{'7'}
Üçlü.	{'8'}
Ortada ne var?	{'2'}
Senindir Shooter.	{'5'}
Sen ve lanet defterin.	{'1'}
As, papaz, on.	{'5'}
Şu rezalete bak.	{'3'}
Dağıt Shooter.	{'2'}
Üç yediliyi geçemem.	{'8'}
Katılmaya çalıştım fakat çok yaşlı olduğumu söylediler.	{'6'}
Cehennem azabı gibi!	{'4'}
Harika.	{'8', '5'}
Çok güzel biri.	{'5'}
- Kibar davranmayın.	{'8'}
Reddetmesi halinde Leydi Tadminster, ilk günkü açılışı yapabilir. Bayan Crosbie de ikinci sırada olur.	{'1'}
Peki ama Düşeş ne olacak?	{'7'}
John, şanslı bir adam.	{'5'}
Geç kaldık.	{'6'}
Biliyor musun, bence o yastık nemlenmiş.	{'8'}
- Nemli yastığa oturmana izin veremem.	{'3'}
- Cynthia da geldi.	{'5'}
- Yüzlercesini!	{'7'}
Çok çıtkırıldımdı ama çok zekiydi.	{'8'}
İngiliz inanışlarından bir örnek daha.	{'6'}
- Sen, timin geri kalanı nerede?	{'2'}
- Styles Malikanesi harika bir yer.	{'7'}
- Kardeşin yardım edemiyor mu?	{'1'}
- Lawrence mı?	{'1'}
Evlendikten sonra tabi ki...	{'3'}
- İyi günler, Mösyö Poirot!	{'5'}
Farklı boyutlardaki şişeler, hepsi de düzensizce dizilmiş...	{'1'}
Ne gereği var?	{'2'}
Onlara düzen ve metot aşılamaya çalışıyorum onlarsa sürekli meyhanelere sıvışıyorlar.	{'1'}
Çok güzel bir at.	{'8'}
Neyse ki tarımsal amaçlı kullanılanlar istisna.	{'5'}
Buralarda yapacak çok iş yok.	{'2'}
Bir kadına göre olduğunu sanmazdım.	{'7'}
Savaştayız.	{'4'}
- Çok isterim.	{'5'}
- Sorun nedir?	{'3'}
Sorunumuz büyük.	{'2'}
- Evie, bu doğru olamaz!	{'7'}
Korkarım ki Emily'e unutamayacağı ve affedemeyeceği bir şey söyledim.	{'6'}
- Ah, Evie!	{'5'}
- Yüce Tanrım!	{'7'}
Evini ne kadar erken terk edersem o kadar iyi olurmuş.	{'4'}
Bay Hastings, siz dürüst birisiniz.	{'5'}
Çok sıcak bir hava, değil mi?	{'3'}
Ve size söz veriyorum.	{'2'}
Gerçekten de dostum Hastings bu!	{'5'}
Benim gibi ülkelerinden uzak olan yedi yurttaşıma da misafirperverliğini gösterdi.	{'8'}
Bize tam da şurada çok hoş bir ev temin etti.	{'7'}
- Evet, çok uygun.	{'8'}
- Sadece borç veriyorum. - Hayır.	{'1'}
Yeterince katlandım.	{'5'}
- Dorcas, bana biraz pul getir lütfen.	{'1'}
Dinlenmeniz gerekmez mi?	{'1'}
Hayır, şimdi olmaz!	{'1'}
- Odamdaki şömineyi yaktın mı? - Evet, hanımefendi.	{'2'}
Dorcas, her şeyi anlattı.	{'2'}
- Seni uyarıyorum, John.	{'1'}
Çok yorgunum.	{'6'}
Köye inmem gerek. Emlak meseleleriyle ilgili ayarlamalara bakmalıyım.	{'4'}
Kapıyı aç!	{'1'}
Geçti, anne.	{'5'}
Daha iyi hissediyorum.	{'6'}
Hayır.	{'2', '1', '8', '6', '3', '4'}
Köydeki Belçikalı?	{'7'}
- Evet.	{'2', '8', '5', '4', '7'}
Benim zavallı Emily'm.	{'6'}
Beni hoşnut ediyorsun, Hastings.	{'8'}
Evet.	{'4', '7', '8', '5'}
Çok iyi anlıyorum.	{'7'}
Hastings, bu çantayı Madam Inglethorp'un mevcut avukatına vermeliyiz.	{'4'}
Bu çok ilginç, dostum.	{'2'}
Yazın yakılan şömine mi, Hastings?	{'5'}
Burada bir şeyler...	{'2'}
Tam da beklediğim gibi.	{'4'}
- Sevgili Dorcas, ...Madam Inglethorp öldü. Onun intikamını alacaksak her şeyi öğrenmek zorundayız.	{'1'}
Devam edin, Matmazel.	{'8'}
Ne yapacağımı bilmiyorum.	{'4'}
Ama en son iki gün önce aldıysa o kadar da önemli olamaz.	{'1'}
- Ne?	{'4', '2', '7', '1'}
Korkarım ki bu, bir tesadüf değil.	{'4'}
- Anahtarlar hala sizde mi, Mösyö Poirot?	{'7'}
- İmkansız.	{'7'}
Aslında gayet açık.	{'2'}
Gölgede 27 derece olmalı.	{'7'}
Ancak kahve fincanı tamamen ezilmişti. İçindeki kahveden bir örnek almanın imkanı yoktu.	{'1'}
Öyle değil mi?	{'3'}
- Çok doğru, Hastings.	{'8'}
Anlıyorum.	{'6', '4', '8', '5'}
Bize söyleyebilir misiniz, Bay Inglethorp, ...18 Haziran Pazartesi gününün akşamında neredeydiniz?	{'1'}
- Kendi boynuna ipi geçirdi!	{'4'}
Her şey çok hızlı ilerliyor, dostum.	{'7'}
Mösyö Poirot ile çalışmışlığımız var. Onun yargısına kesinlikle güvenirim.	{'7'}
Aleyhindeki deliller aynen bu şekilde çürütülecek.	{'2'}
Alfred Inglethorp tutuklanmamalı, Başkomiser.	{'8'}
Çok güzel bir şehir.	{'5'}
Hastings, ...sana da garip gelmedi mi? Mösyö Lawrence Cavendish, annesinin kazara zehirlenmiş olabileceğini söyledi.	{'1'}
- Ama aynen öyle davrandı.	{'6'}
Hayır, Hastings.	{'6'}
- Karakola.	{'6'}
Konuşun!	{'6'}
Hem isimlerini hem de adreslerini içeren bir katalog yaptım.	{'7'}
- Demek başladığımız yere geri döndük.	{'3'}
Ulu Tanrım... Bizi ebedi ölümün acı verici pençelerine bırakma.	{'4'}
Ama biz, ondan da zekice davranmalıyız.	{'2'}
Bu yüzden sen çok değerlisin, dostum. Gel.	{'8'}
Onu kaçırabilir miyim, Bay Poirot?	{'3'}
Sanırım unuttu veya ölebileceğini düşünmedi.	{'6'}
- Sizden ayrılmak istemeyeceklerdir.	{'8'}
Benden nefret ediyor.	{'1'}
- Ayrıca oğlu da beni istemez.	{'4'}
Kimsenin seni sevmemesi çok kötü bir duygu, öyle değil mi?	{'6'}
- Ama Lawrence, benimle hiç konuşmuyor elinde değil.	{'8'}
- Saçmalamayın, lütfen!	{'1'}
- Saçmalamıyorum.	{'2'}
Neşemi yerine getirdiniz.	{'5'}
Kötü kalpli dedektifler...	{'1'}
Cinayet davası!	{'4'}
Cinayet davası başlıyor!	{'1'}
Müdafaanız nedir?	{'2'}
Styles Malikanesi. Tamamen annesinin eline bakıyordu.	{'8'}
Kayınvalidesiyle arasında geçen konuşmanın bir kısmını duydun. Madam Inglethorp'dan ona bir şey göstermesini istiyordu.	{'8'}
Elin hiç titremiyor, Poirot.	{'7'}
- Güzel.	{'7', '8'}
- Evet?	{'4'}
"Kanıt ""D"" yi getirebilir misiniz?"	{'2'}
O zaman yukarıya çıkın.	{'2'}
Herkes geldi mi?	{'2'}
Keşke bilseydim.	{'2'}
Bayanlar ve baylar, herkese iyi akşamlar.	{'5'}
Yanılıyor muyum, Madam?	{'8'}
Madam Inglethorp'un kendisi!	{'7'}
Fark etmez, dostum.	{'8'}
- Hem borç olarak verdim. - Hayır!	{'8'}
Striknin kahvede değilse kakaonun içinde olmadığını da biliyoruz neyin içindeydi?	{'4'}
Yok mu?	{'1'}
İlacı!	{'7'}
Böylece alınan son doz, ölümcül oluyor.	{'6'}
Biri toniğinin içine uyku ilacı mı koymuş?	{'7'}
Ancak öldüğü sabah Madam Inglethorp'un çantasını bizzat kilitlemiştim.	{'3'}
Kesinlikle!	{'5'}
Kusuruma bakmayın.	{'6'}
Pekala.	{'4', '1', '5'}
Her halükarda parayı biz hak ediyoruz.	{'1'}
Korkunç!	{'4'}
Mektubu bitirmeyi başaramamıştı, dostum.	{'5'}
Gerisini biliyoruz.	{'1'}
Bir an bile senin yaptığına inanmadım.	{'4'}
- Hayatımın bittiğini düşünmüştüm.	{'5'}
Her şeyi öğrenmek istiyorum.	{'2'}
Anlamadığım bir şey var. Inglethorp, neden tutuklanmaya o kadar istekliydi?	{'4'}
Kendisine tartışmasız görgü tanıkları bulup ömrünün geri kalanında rahat edecekti.	{'3'}
- Bayan Howard mı? - Kesinlikle!	{'1'}
Zeki şeytanlar!	{'8'}
Madam Raikes ile olan saçma şeyler unutuldu.	{'1'}
- Kadınlar, aşk için çılgınca şeyler yapıyor.	{'5'}
Bayan Inglethorp'un odasına girdiğimizde yüzünde oluşan ifadeyi asla unutamam.	{'5'}
Ona aşık olduğu için tabi ki.	{'5'}
İkiniz de bir harikasınız!	{'5'}
Gidelim!	{'4', '2'}
Ne harika bir kız!	{'8'}
Kadınları asla anlayamayacağım.	{'6'}
nan	{'6', '4', '8'}
Siegfried'a kılıcı karşılığında hayatını bağışlaması için yalvardı.	{'4'}
Selam baba.	{'5'}
Tramplenle başlayacağız.	{'2'}
Üzgünüm koç.	{'6'}
Atlayamadım.	{'7'}
Giyim genel incelik gerektirir, Bastian. Yani..	{'3'}
-Ben seviyorum.	{'5'}
-Ama ben değil.	{'3'}
Hatırlamıyorsun, değil mi?	{'6'}
..bize yardım et.	{'4'}
Lütfen geri gel, Bastian.	{'6'}
Ama bu hiç bitmeyen hikaye.	{'1'}
-Geri ver onu!	{'2'}
Hayır, Bastian!	{'7'}
Çok büyük bir tehlikedeyiz.	{'4'}
Fantasia!	{'5'}
Çocuk İmparatoriçeyi korumak için bir dünyalı çocuk!	{'5'}
Gir, benim ajanım.	{'2'}
Üç surat!	{'7'}
Sen iyi misin?	{'4', '2'}
Bugüne kadar olan en iyi inişim .	{'5'}
Kanatlarını yeni edinmişsin gibi duruyor.	{'8'}
Saf Asit!	{'7'}
Asit?	{'7'}
Hadi!	{'8', '1'}
Haydi, bir dilek dile.	{'2'}
Çocuk imparatoriçe'yi görmem gerek.	{'2'}
-Sormak için zamanım olmadı.	{'1'}
-Devlere benziyorlar.	{'4'}
-Bunu görebiliyorum!	{'7'}
Hayatlarımız için dilek dile!	{'4'}
Nimbly!	{'8'}
Güzel giriş.	{'7'}
Aynı güç senin dünyanda da kitapları boş hale getiriyor beni, benim kalemde esir ediyor.	{'6'}
Bizim sizin düşlerinizin ve masallarınızın varlığına ihtiyacımız var.	{'8'}
Ne yapmam gerektiğini anlat!	{'8'}
Auryn sana yardım edecek.	{'8'}
Sen benim son umudumsun.	{'8'}
Fantasia'daki herkese bize yardım etmeleri için ulaşmamız gerek.	{'4'}
Şimdi!	{'4', '2'}
Korkuyorum.	{'4'}
Bu ne demek biliyor musunuz?	{'2'}
Benim dünyamın çocuklarının okuyacak başka hikayeleri kalmayacak.	{'6'}
Bastian!	{'5'}
Rüyamda Gümüş Şehrin üzerinde bir ışık gördüm ve biliyorum umut var.	{'5'}
-Devleri gördün mü?	{'7'}
İnsanlar el şeklinde inşa edilmiş bir kaleden bahsediyorlardı.	{'2'}
Oh, hayır!	{'6'}
Onun ne yapacağını kim bilebilir?	{'4'}
-Ne yapacaksın?	{'4'}
"Biri ""Takip"" mi dedi?"	{'5'}
Falcor bak!	{'5'}
Çok kaba bir el.	{'2'}
Atreyu'yu bulmak zorundayız.	{'8'}
Hey!	{'1', '5'}
Seyredin çocuklar!	{'4'}
Ufaklık kaya ile burun arasındaki farkı ne zaman öğreneceksin?	{'7'}
Sizin için ne yapabilirim?	{'8'}
Kapakta sizin adresiniz vardı.	{'1'}
Oğlum dün geceden beri kayıp.	{'4'}
Genç bir adam için ağır bir okuma kitabı.	{'8'}
Belki oğlunuzun kayboluşu ile ilgili bir açıklama bulabilirsiniz içeride.	{'8'}
Atreyu, gerçekçi ol!	{'8'}
Gerçekçi olmak sizin dünyanızda bir şaka mı?	{'6'}
Evet!	{'1', '5'}
Tabi sende.	{'1'}
Tehlikeli, ama işe yaramalı.	{'2'}
Dünyanda eğer Hiç Bitmeyen Öykü zayıflıyorsa hiç bir çocuk Ufaklığı öğrenemeyecek.	{'6'}
Eğer insanlar bizi unuturlarsa kimse eğlenceli şeyler düşünmezse Ufaklığın yapacağı.	{'6'}
Hayır!	{'2', '1', '8', '6', '4'}
Acıtıyor!	{'4'}
Nefes alamıyorum!	{'4'}
İyi misin?	{'7', '8', '5'}
Ne söyleyeceğini hatırlıyor musun?	{'8'}
Sanırım kendi kendinize neden burada olduğumu soruyorsunuz.	{'7'}
Geçmişte bazı farklılıklarımız olmuştu ama eminim bunun ğzerinde çalışabiliriz.	{'8'}
Okumayı severim.	{'5'}
Sanırım bu konu sizin ilginizi çekmiyor.	{'6'}
Wham-Bos, gidin!	{'5'}
Şimdi senin şansın, git!	{'7'}
Boşver!	{'1'}
Sprey boya, bu sizin dünyanızda silah mı?	{'7'}
Yaprığımız şeye inanamıyorum.	{'7'}
Onlar oyuk ve boş.	{'6'}
Ben seni yendim mi?	{'7'}
Biz.	{'8'}
Kesinlikle evet!	{'1'}
Senden Çocuk İmparatoriçe'yi serbest bırakmanı talep ediyorum!	{'1'}
Ben onu sonsuza dek izole ettim.	{'3'}
Büyüyü sen yaptın ve geri çevirebilirsin!	{'1'}
Öyleyse hep beraber Sarmaşık Kulesine gideceğiz.	{'2'}
Mr. Koreander?	{'2'}
Bence hayır demeliyim.	{'4'}
Benim Xobile im yeterli centilmenler..	{'8'}
Size söylüyorum bu sofistike bir operasyon.	{'8'}
Bu sabah bu yer kitapla doluydu. Duvardan duvara!	{'7'}
Bir şey gördüğümde gördüğüm şeyi....	{'1'}
Bu giyeni görünmez yapan bir kemer.	{'7'}
Kendimi göremiyorum.	{'4'}
Eğer onu çıkaramazsam ne olacak?	{'4'}
Bunu sevmedim.	{'4'}
Uzun sürmesin.	{'4'}
Hemen dönerim.	{'2'}
Biz çevrede daireler çiziyoruz.	{'1'}
Bastian, ben bekliyorum!	{'1'}
Onun sana emirler vermesine izin verme.	{'1'}
Onun Çocuk İmparatoriçe'yi serbest bırakmamız için bize yardım edeceğinden nasıl emin olabiliriz?	{'6'}
-Ona güvenmiyorum.	{'3'}
-Ben biri bana yalan söylediğinde anlarım.	{'1'}
Neden dilemek dururken bir şeyler hatırlayasın ki?	{'7'}
Bu hoşuna gitmez miydi?	{'5'}
Ölsek bile mi?	{'4'}
Yarın Xayide'nın esirleri olabiliriz.	{'2'}
Onu sinirlendirme.	{'2'}
Haklısın.	{'8'}
Xayida Haklısın.	{'6'}
Bende Auryn olmasını kıskanıyorsun, ve onu benden almaya geldin.	{'4'}
Neden sen kendi dünyana geri dönüp kahramancılık oynamıyorsun, Dünyalı çocuk?	{'3'}
Devler!	{'7'}
Bir şey yapmadığınız için teşekkürler.	{'1'}
Bu senin suçun.	{'3'}
Bir iki üç!	{'5'}
Bastian. Beni unutma, Bastian.	{'8'}
Benimle gel.	{'8'}
Ve kim gözetler ve uçarsa diğer günde ajan olarak yaşar.	{'7'}
Olanlar için çok üzgünüm.	{'4'}
Arkadaş mıyız?	{'8'}
Sen sayıyı aştın ve yapacaklarını da, Bastian.	{'1'}
Eğer son dileğimi kullanırsam--	{'5'}
Fantasia unutulacak.	{'6'}
Pekiyi öyleyse.	{'8'}
Ama baban seni bir daha göremezse ne hissedecek?	{'4'}
Dileğini dile.	{'8'}
Dilerim ki... senin bir kalbin olsun....	{'2'}
Onun sevgi ile dolması gerekir.	{'5'}
Cesaretini buldun.	{'8'}
-Senin için endişelendim.	{'4'}
Bastian Geri döndün.	{'3'}
Bastian seni seviyorum.	{'8'}
Özür dilerim ama uçağımız kalkmak üzere.	{'4'}
Beni izleyin, lütfen.	{'2'}
Bu uçağı kaçırmak istemiyorum.	{'4'}
Bir hükümet yetkilisiyle olan ilişkini bilmediğimizi mi sanıyorsun?	{'7'}
Keşke olsaydınız.	{'3'}
Söylüyorum, bizim taraf hep kazanır.	{'8'}
Lanet olsun.	{'6', '7', '1'}
Bunları söylemek zorunda kalsan, sen de anneni anardın.	{'1'}
Kesmeden çektiğim için kendimden nefret ediyorum.	{'6'}
- Bunu yine söyleyebilirsin.	{'1'}
Ne demek istediğimi biliyorsun, settekiler de biliyor.	{'8'}
Hem de daha iyi yaparım.	{'6'}
Bn. Winkle, bu uyandırma servisiniz.	{'4'}
Onu tanıyor sayılmam. Bu halde buldum ve buraya getirdim.	{'6'}
Ne almış?	{'4'}
İyi bilmiş.	{'8'}
Bir süre daha göreceksin.	{'5'}
Rehabilitasyonda mıyım?	{'4'}
Şey, tabii.	{'8'}
Bir bey seni baygın halde getirmiş.	{'4'}
Onayını almak ve Tanrının izniyle sana yardım etmek için buradayım.	{'2'}
Birkaç soru soracağım.	{'2'}
- Soru seni rahatsız ettiyse üzgünüm.	{'1'}
İçimde öyle bir his var ki; eğer istediklerinizi yapmazsam sanki beni terk edecekmişsiniz, cezalandıracakmışsınız gibi geliyor.	{'4'}
Çok iyiydin, Carol.	{'8'}
Ailen de gelmeyecek miydi?	{'2'}
Hepimiz burada olan diğer değerli ailelerle sohbet etsek iyi olacak.	{'8'}
Bu kızgınlığın bana değil.	{'8'}
Merhaba, hayatım!	{'8'}
- Merhaba, Allen.	{'7'}
Pardon, çocuklar.	{'6'}
- Memnun oldum.	{'8'}
Allen ne yapıyor acaba?	{'2'}
- Farklı birine benziyor.	{'3'}
Yeni arkadaşlar edinmene sevindim.	{'5'}
Kariyerin için önemli bir proje değil.	{'6'}
- Hemen tatmin olmak uzun iş.	{'3'}
Üzülmekten nefret ediyorum.	{'1'}
